Date,Precipitation,Max Temp,Mean Temp,Min Temp
12/23/2012,0,3,1,-2
12/24/2012,0,4,2,-1
12/25/2012,0.25,2,0,-2
12/26/2012,5.84,4,-1,-5
12/27/2012,42.42,8,4,-1
12/28/2012,0,3,1,-2
12/29/2012,17.53,3,1,-2
12/30/2012,T,-1,-3,-6
12/31/2012,0,1,-2,-6
1/1/2013,0,3,-2,-7
1/2/2013,T,-1,-6,-11
1/3/2013,0,-4,-9,-14
1/4/2013,0,3,-1,-6
1/5/2013,0,6,2,-3
1/6/2013,T,6,2,-2
1/7/2013,0,4,1,-2
1/8/2013,0,8,3,-2
1/9/2013,T,8,3,-2
1/10/2013,0,8,5,2
1/11/2013,3.05,4,2,-1
1/12/2013,0.25,7,5,3
1/13/2013,T,11,8,4
1/14/2013,0,16,11,6
1/15/2013,T,6,4,2
1/16/2013,9.4,2,1,-1
1/17/2013,0,6,2,-1
1/18/2013,0,-1,-4,-7
1/19/2013,0,9,3,-4
1/20/2013,0,12,6,-2
1/21/2013,0.25,-1,-3,-5
1/22/2013,T,-4,-7,-9
1/23/2013,0,-8,-11,-13
1/24/2013,0,-6,-11,-16
1/25/2013,0.25,-4,-8,-12
1/26/2013,0.25,-4,-7,-11
1/27/2013,0,0,-5,-10
1/28/2013,4.32,-1,-3,-6
1/29/2013,0.25,1,-1,-3
1/30/2013,2.79,16,8,1
1/31/2013,7.87,16,8,0
2/1/2013,0,1,-2,-5
2/2/2013,0,-1,-4,-7
2/3/2013,0.76,-3,-4,-5
2/4/2013,0,-1,-3,-6
2/5/2013,0.76,-3,-4,-6
2/6/2013,0.25,4,1,-3
2/7/2013,0,-1,-4,-8
2/8/2013,31.75,1,-3,-7
2/9/2013,3.56,-7,-8,-9
2/10/2013,0,2,-3,-9
2/11/2013,5.08,7,1,-7
2/12/2013,0,7,4,2
2/13/2013,0,6,2,-1
2/14/2013,T,6,3,0
2/15/2013,0,8,4,-1
2/16/2013,0.25,3,2,0
2/17/2013,5.08,0,-4,-8
2/18/2013,0,1,-4,-9
2/19/2013,11.43,7,2,-3
2/20/2013,0.25,6,2,-3
2/21/2013,0,1,-2,-4
2/22/2013,0,3,0,-3
