Word,Frequency,Rank
writing,114,1702
Ferrars,113,1703
Like,113,1704
fought,113,1705
important,113,1706
oxen,113,1707
season,113,1708
vision,113,1709
waited,113,1710
Also,112,1711
Master,112,1712
May,112,1713
Sunday,112,1714
creatures,112,1715
crowd,112,1716
desired,112,1717
exceedingly,112,1718
fury,112,1719
generally,112,1720
increased,112,1721
innocent,112,1722
officers,112,1723
path,112,1724
police,112,1725
scattered,112,1726
stick,112,1727
surprised,112,1728
upright,112,1729
Aye,111,1730
Gregory,111,1731
Jem,111,1732
Musgrove,111,1733
cover,111,1734
milk,111,1735
nine,111,1736
office,111,1737
shake,111,1738
voices,111,1739
weight,111,1740
wonderful,111,1741
Egyptians,110,1742
Out,110,1743
Those,110,1744
Till,110,1745
acquainted,110,1746
anxious,110,1747
attachment,110,1748
breadth,110,1749
cease,110,1750
colour,110,1751
delighted,110,1752
distress,110,1753
dropped,110,1754
eager,110,1755
goodness,110,1756
guess,110,1757
lad,110,1758
latter,110,1759
modern,110,1760
step,110,1761
substance,110,1762
thousands,110,1763
twice,110,1764
wash,110,1765
Before,109,1766
Joe,109,1767
New,109,1768
ancient,109,1769
dance,109,1770
pause,109,1771
threw,109,1772
weak,109,1773
Jeroboam,108,1774
LORDs,108,1775
comfortable,108,1776
committed,108,1777
finger,108,1778
idols,108,1779
knowest,108,1780
lines,108,1781
mistaken,108,1782
reach,108,1783
rolled,108,1784
soldiers,108,1785
square,108,1786
wherewith,108,1787
Bull,107,1788
Cassi,107,1789
Hor,107,1790
Theres,107,1791
blessing,107,1792
confess,107,1793
gentle,107,1794
grand,107,1795
hoped,107,1796
minister,107,1797
outside,107,1798
solemn,107,1799
steady,107,1800
stretched,107,1801
truly,107,1802
weeks,107,1803
Ile,106,1804
Through,106,1805
anointed,106,1806
bullock,106,1807
chair,106,1808
cottage,106,1809
dog,106,1810
established,106,1811
flee,106,1812
fully,106,1813
