Date,company_code,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-10-12,CVX,89.86,89.98,87.8658,88.74,7917484.0,0.0,1.0,84.23702050190074,84.34951151525739,82.36760734493556,83.18710437723873,7917484.0
2015-10-09,CVX,90.2,90.4,88.6728,89.57,10011072.0,0.0,1.0,84.55574503974458,84.74323006200565,83.124109409759,83.96516721962219,10011072.0
2015-10-08,CVX,87.89,90.135,87.8,89.91,11299052.0,0.0,1.0,82.39029303262916,84.49481240750973,82.30592477261168,84.28389175746601,11299052.0
2015-10-07,CVX,88.25,89.51,86.28,88.12,17689343.0,0.0,1.0,82.7277660726991,83.90892171294387,80.88103860342751,82.6059008082294,17689343.0
2015-10-06,CVX,84.18,87.63,84.07,86.99,18896013.0,0.0,1.0,78.91244586968624,82.14656250368976,78.80932910744264,81.54661043245433,18896013.0
2015-10-05,CVX,82.41,84.19,82.35,84.03,14195552.0,0.0,1.0,77.25320342267572,78.92182012079928,77.1969579159974,78.77183210299043,14195552.0
2015-10-02,CVX,77.74,81.55,77.31,81.55,13050412.0,0.0,1.0,72.87542815287964,76.4470178269531,72.47233535501833,76.4470178269531,13050412.0
2015-10-01,CVX,79.72,80.89,77.81,78.34,11110356.0,0.0,1.0,74.73152987326426,75.82831725349156,72.94104791067102,73.43788321966287,11110356.0
2015-09-30,CVX,77.15,79.02,77.0,78.88,13832122.0,0.0,1.0,72.32234733720946,74.0753322953505,72.18173357051366,73.94409277976776,13832122.0
2015-09-29,CVX,76.04,76.66,75.275,76.25,8796613.0,0.0,1.0,71.2818054636605,71.86300903266984,70.5646752535119,71.47866473703463,8796613.0
2015-09-28,CVX,76.66,76.93,75.75,75.77,10506508.0,0.0,1.0,71.86300903266984,72.11611381272229,71.00995218138195,71.02870068360805,10506508.0
2015-09-25,CVX,77.87,78.16,76.92,77.7,10861940.0,0.0,1.0,72.99729341734934,73.26914669962788,72.10673956160923,72.83793114842743,10861940.0
2015-09-24,CVX,75.45,77.31,75.1,76.89,10301972.0,0.0,1.0,70.72872464799033,72.47233535501833,70.40062585903345,72.07861680827007,10301972.0
2015-09-23,CVX,77.4,77.53,75.76,76.12,9043003.0,0.0,1.0,72.55670361503581,72.6785688795055,71.019326432495,71.35679947256493,9043003.0
2015-09-22,CVX,76.84,77.69,76.49,77.25,9690602.0,0.0,1.0,72.0317455527048,72.82855689731437,71.70364676374791,72.41608984834001,9690602.0
2015-09-21,CVX,78.3,78.73,77.84,78.09,8523338.0,0.0,1.0,73.40038621521064,73.80347901307196,72.96917066401018,73.20352694183651,8523338.0
2015-09-18,CVX,77.91,78.7,76.97,77.74,18635914.0,0.0,1.0,73.03479042180155,73.77535625973279,72.1536108171745,72.87542815287964,18635914.0
2015-09-17,CVX,79.12,80.47,78.6,79.41,12324310.0,0.0,1.0,74.16907480648105,75.4345987067433,73.68161374860225,74.4409280887596,12324310.0
2015-09-16,CVX,77.82,79.21,77.77,79.02,12592848.0,0.0,1.0,72.95042216178406,74.25344306649852,72.9035509062188,74.0753322953505,12592848.0
2015-09-15,CVX,76.43,77.69,76.21,77.17,11678095.0,0.0,1.0,71.6474012570696,72.82855689731437,71.44116773258241,72.34109583943558,11678095.0
2015-09-14,CVX,75.52,76.0,74.96,75.77,10235464.0,0.0,1.0,70.7943444057817,71.24430845920828,70.26938634345069,71.02870068360805,10235464.0
2015-09-11,CVX,75.94,76.25,75.09,75.79,11031525.0,0.0,1.0,71.18806295252996,71.47866473703463,70.3912516079204,71.04744918583417,11031525.0
2015-09-10,CVX,75.73,75.8,74.31,75.66,11474628.0,0.0,1.0,70.99120367915584,71.05682343694721,69.66006002110221,70.92558392136446,11474628.0
2015-09-09,CVX,77.43,78.2,74.75,74.92,11297445.0,0.0,1.0,72.58482636837498,73.3066437040801,70.07252707007657,70.23188933899849,11297445.0
2015-09-08,CVX,77.53,77.56,76.2437,76.84,9316047.0,0.0,1.0,72.6785688795055,72.70669163284467,71.47275895883341,72.0317455527048,9316047.0
2015-09-04,CVX,77.3,77.63,76.45,76.67,11210025.0,0.0,1.0,72.46296110390527,72.77231139063603,71.6661497592957,71.8723832837829,11210025.0
2015-09-03,CVX,78.7,79.42,77.69,78.26,12282635.0,0.0,1.0,73.77535625973279,74.45030233987266,72.82855689731437,73.36288921075844,12282635.0
2015-09-02,CVX,79.6,79.75,77.23,78.06,14250664.0,0.0,1.0,74.61903885990762,74.75965262660344,72.3973413461139,73.17540418849735,14250664.0
2015-09-01,CVX,78.3,79.39,77.52,78.19,17950220.0,0.0,1.0,73.40038621521064,74.4221795865335,72.66919462839245,73.29726945296706,17950220.0
2015-08-31,CVX,80.02,81.08,77.92,80.99,16877634.0,0.0,1.0,75.01275740665588,76.00642802463958,73.0441646729146,75.92205976462209,16877634.0
2015-08-28,CVX,77.7,81.2,77.58,80.43,23730587.0,0.0,1.0,72.83793114842743,76.11891903799622,72.72544013507077,75.3971017022911,23730587.0
